,edades,genero,salarios,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaños_empresa,lenguaje_programacion
2818,30-44,Hombre,bajo,India,Bachillerato,Business Analyst,< 1 years,Contabilidad/Finanzas,Pequeña, Bash
2819,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,< 1 years,Radio/Comunicaciones,Multinacional,"Python, SQL, Other"
2820,45-59,Hombre,alto,Canada,Master,Data Analyst,3-5 years,Tecnológico,Mediana,"Python, SQL"
2821,45-59,Hombre,alto,Estados Unidos,Master,Data Analyst,10-20 years,Contabilidad/Finanzas,Multinacional," SQL, Other"
2822,18-29,Hombre,No sabe/No contesta,Egipto,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,,No sabe/No contesta,"Python, C++"
2823,30-44,Hombre,No sabe/No contesta,Turquia,Master,Business Analyst,5-10 years,Tecnológico,Startup,"Python, SQL, Javascript, MATLAB"
2824,18-29,Mujes,medio,Bielorusia,Master,Data Analyst,1-3 years,Fabricación,Pequeña,"Python, R"
2825,18-29,Hombre,No sabe/No contesta,Egipto,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Startup,"Python, R, SQL"
2826,18-29,Hombre,No sabe/No contesta,Japon,Grado Universitario,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL, Javascript"
2827,30-44,Hombre,medio,Nigeria,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande," R, SQL"
2828,30-44,Hombre,alto,Australia,Doctorado,Data Analyst,10-20 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Other"
2829,18-29,Hombre,medio,Taiwan,Master,Data Analyst,1-3 years,Envío/Transporte,Mediana,"Python, SQL"
2830,60-70+,Hombre,alto,Japon,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,Python
2831,30-44,Hombre,bajo,India,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL, C++"
2832,18-29,Hombre,No sabe/No contesta,Turquia,Master,Data Analyst,5-10 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, SQL"
2833,30-44,Hombre,medio,Italia,Master,Data Analyst,5-10 years,Hostelería/Entretenimiento/Deportes,Pequeña,"Python, R, SQL"
2834,18-29,Hombre,No sabe/No contesta,China,Master,Business Analyst,10-20 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, C, C++, Java, Javascript, Bash, MATLAB"
2835,18-29,Hombre,bajo,India,Master,Data Analyst,< 1 years,Académico/Educación,Multinacional,Python
2836,45-59,Hombre,medio,España,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Startup,"Python, R"
2837,60-70+,Hombre,alto,Mexico,Master,Business Analyst,< 1 years,Académico/Educación,Startup, R
2838,18-29,Hombre,bajo,Brasil,Estudios Univertarios sin licenciatura,Data Analyst,3-5 years,Negocios en línea/ventas basadas en Internet,Grande,"Python, R, SQL, Bash"
2839,30-44,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,Python
2840,30-44,Mujes,alto,India,Grado Universitario,Data Analyst,3-5 years,Otros,Pequeña,"Python, SQL, Javascript, Other"
2841,18-29,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Business Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL"
2842,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,I have never written code,Marketing/CRM,Pequeña,No sabe/No contesta
2843,18-29,Hombre,medio,Polonia,Master,Business Analyst,< 1 years,Ventas al por menor,Multinacional,"Python, SQL"
2844,18-29,Mujes,bajo,Brasil,Grado Universitario,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Multinacional,"Python, SQL, Bash"
2845,18-29,Hombre,No sabe/No contesta,Turquia,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, R, SQL"
2846,45-59,Hombre,alto,Ecuador,Master,Business Analyst,1-3 years,Ventas al por menor,Startup,Python
2847,18-29,Hombre,bajo,Nigeria,Grado Universitario,Business Analyst,< 1 years,Tecnológico,Pequeña,Python
2848,30-44,Hombre,bajo,Rusia,Master,Data Analyst,3-5 years,Energía/Minería,Grande,"Python, SQL"
2849,18-29,Hombre,No sabe/No contesta,Portugal,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, SQL, C, C++, MATLAB"
2850,30-44,Mujes,medio,Portugal,Doctorado,Data Analyst,10-20 years,Otros,Grande,"Python, SQL"
2851,30-44,Hombre,No sabe/No contesta,India,Bachillerato,Business Analyst,10-20 years,Contabilidad/Finanzas,No sabe/No contesta, SQL
2852,18-29,Hombre,bajo,Colombia,Grado Universitario,Data Analyst,3-5 years,Otros,Grande,"Python, R, SQL, Bash"
2853,30-44,Mujes,alto,Estados Unidos,Master,Data Analyst,1-3 years,Tecnológico,Mediana, SQL
2854,45-59,Hombre,No sabe/No contesta,Francia,Master,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL, Java"
2855,30-44,Hombre,medio,Indonesia,Grado Universitario,Business Analyst,< 1 years,Ventas al por menor,Multinacional,"Python, SQL"
2856,30-44,Hombre,bajo,Brasil,Grado Universitario,Business Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL, C, Javascript"
2857,18-29,Hombre,alto,Estados Unidos,Master,Business Analyst,1-3 years,Energía/Minería,Multinacional,"Python, R"
2858,18-29,No binario,No sabe/No contesta,Estados Unidos,Grado Universitario,Business Analyst,1-3 years,Otros,Pequeña, R
2859,30-44,Hombre,medio,India,Master,Business Analyst,10-20 years,Académico/Educación,Mediana,"Python, R, C"
2860,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Otros,Startup,Python
2861,18-29,Hombre,No sabe/No contesta,Rusia,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, SQL, Java"
2862,18-29,Hombre,No sabe/No contesta,Grecia,Grado Universitario,Business Analyst,5-10 years,Marketing/CRM,Pequeña,"Python, SQL"
2863,30-44,Hombre,alto,China,Doctorado,Data Analyst,3-5 years,Académico/Educación,Grande, R
2864,18-29,Hombre,No sabe/No contesta,Corea del Sur,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Otros,Startup,"Python, R, SQL, C"
2865,30-44,Hombre,No sabe/No contesta,Estados Unidos,Grado Universitario,Business Analyst,3-5 years,,No sabe/No contesta,"Python, SQL"
2866,18-29,Hombre,bajo,Japon,Bachillerato,Data Analyst,1-3 years,Académico/Educación,Mediana,"Python, SQL"
2867,45-59,Hombre,medio,Rusia,Master,Data Analyst,10-20 years,Tecnológico,Pequeña,"Python, R, SQL, C, C++, Java, Javascript"
2868,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL, Javascript"
2869,30-44,Hombre,medio,Reino Unido,Estudios Univertarios sin licenciatura,Data Analyst,10-20 years,Seguro/Evaluación de Riesgos,Grande, Javascript
2870,18-29,Hombre,No sabe/No contesta,Otros,Estudios Univertarios sin licenciatura,Business Analyst,< 1 years,Contabilidad/Finanzas,Pequeña, C++
2871,45-59,Hombre,bajo,Japon,Grado Universitario,Business Analyst,< 1 years,Ventas al por menor,Grande,Python
2872,45-59,Hombre,medio,Brasil,Master,Data Analyst,20+ years,Energía/Minería,Mediana,"Python, R, SQL, C"
2873,18-29,Hombre,bajo,Pakistan,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Javascript"
2874,18-29,Hombre,alto,Japon,Master,Data Analyst,3-5 years,Energía/Minería,Multinacional,"Python, C++, MATLAB"
2875,18-29,Mujes,bajo,Vietnam,Master,Data Analyst,< 1 years,Ventas al por menor,Grande,"Python, SQL"
2876,45-59,Hombre,No sabe/No contesta,Nigeria,Master,Business Analyst,3-5 years,Gobierno/servicio público,Pequeña, SQL
2877,30-44,Hombre,No sabe/No contesta,Australia,Master,Data Analyst,3-5 years,Marketing/CRM,Startup,"Python, R"
2878,30-44,Hombre,bajo,India,Grado Universitario,Data Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
2879,18-29,Hombre,No sabe/No contesta,Pakistan,Grado Universitario,Data Analyst,3-5 years,,No sabe/No contesta,Python
2880,30-44,Hombre,medio,Brasil,Grado Universitario,Business Analyst,< 1 years,Otros,Multinacional,"Python, SQL"
2881,18-29,Hombre,bajo,Peru,Master,Data Analyst,1-3 years,Gobierno/servicio público,Mediana, Other
2882,60-70+,Hombre,bajo,Marruecos,Doctorado,Business Analyst,5-10 years,Otros,Mediana,"Python, SQL, C, C++, Java, Javascript"
2883,18-29,Mujes,bajo,India,Master,Data Analyst,1-3 years,Marketing/CRM,Mediana,"Python, R, SQL"
2884,18-29,Prefiero no decirlo,No sabe/No contesta,India,Grado Universitario,Business Analyst,< 1 years,Fabricación,Startup,"Python, SQL"
2885,45-59,Mujes,No sabe/No contesta,India,Doctorado,Data Analyst,20+ years,,No sabe/No contesta,"Python, R, SQL, C"
2886,18-29,Hombre,medio,China,Grado Universitario,Data Analyst,3-5 years,Tecnológico,Startup,Python
2887,18-29,Hombre,medio,India,Master,Data Analyst,I have never written code,Tecnológico,Multinacional,No sabe/No contesta
2888,18-29,Mujes,bajo,India,Master,Data Analyst,5-10 years,Tecnológico,Multinacional,"Python, C++, Javascript"
2889,30-44,Hombre,bajo,Alemania,Doctorado,Data Analyst,1-3 years,Otros,Startup, R
2890,30-44,Hombre,alto,Estados Unidos,Prefiero no responder,Business Analyst,I have never written code,Ventas al por menor,Grande,No sabe/No contesta
2891,18-29,Hombre,bajo,Mexico,Master,Business Analyst,< 1 years,Fabricación,Multinacional, Java
2892,18-29,Hombre,No sabe/No contesta,India,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Tecnológico,Pequeña,"Python, R, SQL"
2893,18-29,Mujes,No sabe/No contesta,Rusia,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, C"
2894,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Mediana,"Python, SQL"
2895,30-44,Mujes,medio,India,Master,Business Analyst,< 1 years,Tecnológico,Multinacional, None
2896,30-44,Hombre,bajo,Turquia,Master,Business Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
2897,18-29,Mujes,bajo,Corea del Sur,Prefiero no responder,Data Analyst,1-3 years,Otros,Startup,Python
2898,18-29,Hombre,No sabe/No contesta,Estados Unidos,Grado Universitario,Data Analyst,< 1 years,,No sabe/No contesta,"Python, SQL"
2899,30-44,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, SQL, MATLAB"
2900,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,,No sabe/No contesta,"Python, SQL"
2901,60-70+,Hombre,No sabe/No contesta,Estados Unidos,Grado Universitario,Business Analyst,1-3 years,Académico/Educación,Startup,"Python, C++, Java, Javascript"
2902,30-44,Hombre,alto,India,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Grande,Python
2903,18-29,Hombre,alto,Italia,Master,Data Analyst,3-5 years,Marketing/CRM,Mediana, Other
2904,45-59,Hombre,medio,Pakistan,Grado Universitario,Business Analyst,1-3 years,Radio/Comunicaciones,Pequeña, R
2905,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Startup,"Python, SQL"
2906,30-44,Hombre,bajo,Brasil,Master,Data Analyst,< 1 years,Tecnológico,Multinacional,Python
2907,30-44,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
2908,18-29,Hombre,No sabe/No contesta,Ucrania,Prefiero no responder,Data Analyst,1-3 years,Tecnológico,Startup,Python
2909,18-29,Mujes,bajo,Nigeria,Grado Universitario,Data Analyst,1-3 years,ONG/Servicio,Pequeña,"Python, SQL"
2910,18-29,Hombre,bajo,India,Grado Universitario,Business Analyst,5-10 years,Médico/farmacéutico,Multinacional,"Python, SQL"
2911,18-29,Mujes,alto,Estados Unidos,Doctorado,Data Analyst,5-10 years,Seguro/Evaluación de Riesgos,Grande,"Python, R"
2912,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Business Analyst,I have never written code,Marketing/CRM,Startup,No sabe/No contesta
2913,18-29,Hombre,bajo,Otros,Grado Universitario,Data Analyst,< 1 years,Ventas al por menor,Pequeña, SQL
2914,30-44,Hombre,bajo,Japon,Grado Universitario,Data Analyst,1-3 years,Marketing/CRM,Grande,"Python, R, SQL"
2915,18-29,Hombre,bajo,India,Master,Data Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, R, SQL"
2916,18-29,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,< 1 years,Ventas al por menor,Pequeña,Python
2917,18-29,Mujes,No sabe/No contesta,Indonesia,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R"
2918,30-44,Hombre,bajo,Francia,Master,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, R"
2919,45-59,Hombre,alto,Reino Unido,Master,Data Analyst,20+ years,Radio/Comunicaciones,Grande,"Python, SQL"
2920,18-29,Mujes,No sabe/No contesta,China,Master,Data Analyst,1-3 years,Tecnológico,Startup,"Python, R, SQL, MATLAB"
2921,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Otros,Startup,"Python, SQL, C, C++"
2922,18-29,Hombre,bajo,India,Master,Business Analyst,1-3 years,Tecnológico,Mediana,"Python, SQL, C"
2923,45-59,Hombre,bajo,Japon,Grado Universitario,Data Analyst,1-3 years,Marketing/CRM,Pequeña, Other
2924,18-29,Mujes,bajo,España,Grado Universitario,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, SQL, Javascript"
2925,30-44,Hombre,medio,Brasil,Grado Universitario,Business Analyst,10-20 years,Tecnológico,Pequeña," SQL, Java, Javascript, Bash"
2926,18-29,Hombre,bajo,Kenia,Grado Universitario,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup,"Python, R"
2927,45-59,Hombre,medio,India,Master,Business Analyst,1-3 years,Energía/Minería,Multinacional,"Python, R, C, C++, MATLAB"
2928,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Java, Javascript"
2929,18-29,Hombre,No sabe/No contesta,Nigeria,Estudios Univertarios sin licenciatura,Business Analyst,I have never written code,Ventas al por menor,Startup,No sabe/No contesta
2930,18-29,Hombre,medio,Rusia,Grado Universitario,Data Analyst,3-5 years,Marketing/CRM,Multinacional, SQL
2931,18-29,Mujes,bajo,Ucrania,Master,Data Analyst,3-5 years,Radio/Comunicaciones,Startup,"Python, SQL, Bash"
2932,30-44,Mujes,alto,Estados Unidos,Master,Data Analyst,5-10 years,Tecnológico,Mediana, SQL
2933,45-59,Hombre,alto,Estados Unidos,Grado Universitario,Business Analyst,1-3 years,Ventas al por menor,Startup,"Python, SQL, Other"
2934,18-29,Hombre,alto,China,Master,Data Analyst,3-5 years,Tecnológico,Grande,"Python, SQL"
2935,18-29,Mujes,medio,Estados Unidos,Master,Data Analyst,1-3 years,Envío/Transporte,Startup,"Python, R, SQL, MATLAB"
2936,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, R, SQL"
2937,30-44,Hombre,bajo,Ghana,Grado Universitario,Data Analyst,1-3 years,Médico/farmacéutico,Pequeña,"Python, R, MATLAB"
2938,18-29,Hombre,bajo,Nigeria,Grado Universitario,Data Analyst,< 1 years,Contabilidad/Finanzas,Grande,"Python, SQL"
2939,45-59,Hombre,alto,Arabia Saudi,Grado Universitario,Data Analyst,10-20 years,Tecnológico,Mediana, SQL
2940,30-44,Mujes,bajo,Rusia,Grado Universitario,Data Analyst,< 1 years,Contabilidad/Finanzas,Grande, SQL
2941,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Multinacional,"Python, SQL"
2942,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Ventas al por menor,Startup,"Python, SQL, MATLAB"
2943,18-29,Mujes,medio,India,Master,Business Analyst,< 1 years,Envío/Transporte,Multinacional,"Python, R, SQL"
2944,18-29,Hombre,bajo,Otros,Grado Universitario,Data Analyst,1-3 years,Gobierno/servicio público,Mediana,"Python, Other"
2945,18-29,Hombre,No sabe/No contesta,Kenia,Grado Universitario,Data Analyst,< 1 years,,No sabe/No contesta," SQL, Java"
2946,30-44,Hombre,alto,India,Grado Universitario,Data Analyst,10-20 years,Envío/Transporte,Multinacional,"Python, SQL, Java, Javascript, Bash"
2947,18-29,Hombre,bajo,China,Grado Universitario,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña,"Python, SQL"
2948,45-59,Mujes,alto,Estados Unidos,Master,Data Analyst,20+ years,Académico/Educación,Multinacional, SQL
2949,30-44,Hombre,No sabe/No contesta,Egipto,Prefiero no responder,Data Analyst,1-3 years,Otros,Startup,Python
2950,18-29,Hombre,bajo,Otros,Master,Data Analyst,< 1 years,Médico/farmacéutico,Startup,Python
2951,60-70+,Hombre,medio,Italia,Bachillerato,Business Analyst,20+ years,Seguro/Evaluación de Riesgos,Multinacional,"Python, SQL, Other"
2952,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R, MATLAB"
2953,30-44,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Otros,Multinacional, SQL
2954,30-44,Mujes,No sabe/No contesta,Israel,Grado Universitario,Data Analyst,1-3 years,Envío/Transporte,Pequeña, None
2955,18-29,Hombre,bajo,Ghana,Bachillerato,Data Analyst,I have never written code,Otros,Startup,No sabe/No contesta
2956,30-44,Hombre,bajo,Corea del Sur,Doctorado,Data Analyst,< 1 years,Radio/Comunicaciones,Startup,"Python, C, MATLAB"
2957,45-59,Hombre,alto,Corea del Sur,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Otros,Startup,Python
2958,30-44,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
2959,30-44,Mujes,No sabe/No contesta,Japon,Grado Universitario,Data Analyst,10-20 years,Marketing/CRM,Startup,"Python, Java, Javascript"
2960,18-29,Mujes,bajo,Francia,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL, C, Java"
2961,30-44,Hombre,No sabe/No contesta,Singapur,Master,Data Analyst,3-5 years,ONG/Servicio,No sabe/No contesta,"Python, R, SQL"
2962,30-44,Mujes,bajo,Taiwan,Master,Business Analyst,1-3 years,Fabricación,Grande,"Python, SQL"
2963,30-44,Hombre,bajo,Mexico,Master,Data Analyst,I have never written code,Hostelería/Entretenimiento/Deportes,Startup,No sabe/No contesta
2964,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado Universitario,Business Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,Python
2965,18-29,Hombre,bajo,India,Prefiero no responder,Data Analyst,< 1 years,Médico/farmacéutico,Pequeña,"Python, SQL"
2966,18-29,Hombre,bajo,India,Master,Business Analyst,I have never written code,Envío/Transporte,Pequeña,No sabe/No contesta
2967,30-44,Mujes,alto,Australia,Master,Business Analyst,1-3 years,Gobierno/servicio público,Pequeña,"Python, R, SQL"
2968,45-59,Mujes,No sabe/No contesta,Estados Unidos,Master,Business Analyst,< 1 years,,No sabe/No contesta, SQL
2969,30-44,Hombre,bajo,Brasil,Grado Universitario,Data Analyst,3-5 years,Otros,Pequeña,"Python, SQL"
2970,30-44,Hombre,bajo,Otros,Grado Universitario,Business Analyst,< 1 years,Gobierno/servicio público,Grande,"Python, SQL, C++, Java"
2971,30-44,Hombre,medio,Brasil,Grado Universitario,Data Analyst,10-20 years,Gobierno/servicio público,Startup,"Python, SQL"
2972,18-29,Hombre,No sabe/No contesta,Nigeria,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,,No sabe/No contesta,Python
2973,18-29,Mujes,bajo,Indonesia,Grado Universitario,Business Analyst,< 1 years,Ventas al por menor,Pequeña," R, SQL"
2974,18-29,Hombre,No sabe/No contesta,Estados Unidos,Master,Business Analyst,< 1 years,Académico/Educación,Mediana,"Python, R, SQL, MATLAB"
2975,45-59,Hombre,medio,Brasil,Prefiero no responder,Business Analyst,10-20 years,Seguro/Evaluación de Riesgos,Grande, SQL
2976,30-44,Hombre,medio,Mexico,Grado Universitario,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, C, Java, Javascript"
2977,18-29,Mujes,No sabe/No contesta,Otros,Master,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, SQL"
2978,18-29,Hombre,No sabe/No contesta,Alemania,Master,Business Analyst,1-3 years,,No sabe/No contesta,Python
2979,30-44,Hombre,No sabe/No contesta,Otros,Grado Universitario,Data Analyst,1-3 years,ONG/Servicio,Startup,Python
2980,30-44,Hombre,medio,Brasil,Master,Business Analyst,3-5 years,Energía/Minería,Multinacional,"Python, Other"
2981,18-29,Mujes,No sabe/No contesta,Tailandia,Master,Data Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Startup,"Python, R, SQL"
2982,45-59,Hombre,No sabe/No contesta,Japon,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña, SQL
2983,45-59,Hombre,medio,Italia,Bachillerato,Business Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Mediana,"Python, SQL, Bash"
2984,18-29,Mujes,No sabe/No contesta,Taiwan,Master,Data Analyst,1-3 years,Académico/Educación,Startup, R
2985,30-44,Hombre,bajo,India,Grado Universitario,Data Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL, Java"
2986,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Mediana,"Python, SQL, C++"
2987,18-29,Hombre,bajo,India,Master,Data Analyst,1-3 years,Tecnológico,Startup,Python
2988,30-44,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,3-5 years,Académico/Educación,Pequeña,"Python, R, Other"
2989,18-29,Mujes,bajo,Otros,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
2990,30-44,Hombre,medio,Brasil,Grado Universitario,Data Analyst,5-10 years,Ventas al por menor,Grande,"Python, SQL"
2991,18-29,Mujes,alto,Estados Unidos,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional, SQL
2992,30-44,Hombre,medio,India,Master,Business Analyst,I have never written code,Tecnológico,Multinacional,No sabe/No contesta
2993,18-29,Hombre,bajo,Portugal,Master,Business Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL"
2994,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Multinacional,"Python, Java"
2995,18-29,Hombre,bajo,Estados Unidos,Grado Universitario,Data Analyst,3-5 years,Académico/Educación,Pequeña,"Python, R"
2996,45-59,Hombre,bajo,Nigeria,Grado Universitario,Business Analyst,I have never written code,Académico/Educación,Pequeña,No sabe/No contesta
2997,30-44,Hombre,bajo,India,Master,Data Analyst,1-3 years,Tecnológico,Mediana,"Python, R, SQL"
2998,30-44,Hombre,alto,Reino Unido,Grado Universitario,Data Analyst,< 1 years,Médico/farmacéutico,Multinacional,Python
2999,30-44,Hombre,bajo,Egipto,Grado Universitario,Data Analyst,< 1 years,Fabricación,Mediana,"Python, SQL"
3000,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,,No sabe/No contesta,"Python, R, SQL"
3001,18-29,Hombre,bajo,Estados Unidos,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Java, MATLAB"
3002,45-59,Hombre,alto,India,Doctorado,Business Analyst,< 1 years,Académico/Educación,Pequeña, R
3003,18-29,Hombre,bajo,Brasil,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Envío/Transporte,Grande,"Python, Java, Other"
3004,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Pequeña,"Python, SQL"
3005,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL"
3006,30-44,Hombre,alto,Reino Unido,Doctorado,Data Analyst,10-20 years,Marketing/CRM,Grande,"Python, R"
3007,18-29,Hombre,No sabe/No contesta,Tailandia,Grado Universitario,Business Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
3008,18-29,Hombre,No sabe/No contesta,Tunez,Master,Data Analyst,3-5 years,Académico/Educación,Pequeña,"Python, SQL, C, Java, Javascript"
3009,18-29,Hombre,No sabe/No contesta,Otros,Grado Universitario,Data Analyst,3-5 years,Tecnológico,Startup,"Python, SQL, Bash"
3010,45-59,Hombre,alto,Alemania,Master,Data Analyst,10-20 years,Fabricación,Multinacional,"Python, SQL, C, C++, Java, Javascript, Swift, Bash"
3011,18-29,Hombre,bajo,Ucrania,Master,Data Analyst,< 1 years,Radio/Comunicaciones,Grande,"Python, SQL"
3012,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,3-5 years,Tecnológico,Startup,"Python, SQL, C, Java"
3013,30-44,Hombre,medio,India,Master,Data Analyst,5-10 years,Tecnológico,Multinacional," SQL, Java"
3014,18-29,Hombre,bajo,Brasil,Grado Universitario,Data Analyst,< 1 years,Gobierno/servicio público,Startup,"Python, R"
3015,30-44,Hombre,medio,Otros,Grado Universitario,Business Analyst,3-5 years,Ventas al por menor,Grande, SQL
3016,30-44,Hombre,alto,Otros,Master,Data Analyst,5-10 years,Médico/farmacéutico,Multinacional, SQL
3017,30-44,Hombre,bajo,Brasil,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, C, C++, Java, Javascript, Swift, MATLAB"
3018,30-44,Hombre,No sabe/No contesta,Uganda,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Tecnológico,Startup," C, C++"
3019,18-29,Hombre,bajo,Bangladesh,Grado Universitario,Data Analyst,3-5 years,Negocios en línea/ventas basadas en Internet,Startup,Python
3020,30-44,Hombre,No sabe/No contesta,Nigeria,Doctorado,Business Analyst,5-10 years,Académico/Educación,Startup,"Python, C++"
3021,18-29,Hombre,No sabe/No contesta,Rusia,Grado Universitario,Data Analyst,< 1 years,ONG/Servicio,Mediana,Python
3022,45-59,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,10-20 years,Energía/Minería,Startup, R
3023,45-59,Hombre,No sabe/No contesta,España,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,Python
3024,30-44,Hombre,alto,Suecia,Master,Business Analyst,3-5 years,Negocios en línea/ventas basadas en Internet,Grande,"Python, SQL"
3025,45-59,Hombre,alto,Francia,Master,Business Analyst,10-20 years,Académico/Educación,Startup," SQL, C"
3026,30-44,Mujes,bajo,Rusia,Prefiero no responder,Data Analyst,1-3 years,Otros,Startup,"Python, SQL"
3027,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Business Analyst,< 1 years,Tecnológico,Pequeña,"Python, SQL"
3028,30-44,Hombre,No sabe/No contesta,Kazakhstan,Grado Universitario,Data Analyst,< 1 years,,No sabe/No contesta,"Python, SQL"
3029,18-29,Hombre,No sabe/No contesta,Otros,Estudios Univertarios sin licenciatura,Business Analyst,I have never written code,Energía/Minería,Startup,No sabe/No contesta
